"STVTERM_CODE";"STVTERM_DESC";"STVTERM_START_DATE";"STVTERM_END_DATE";"STVTERM_FA_PROC_YR";"STVTERM_ACTIVITY_DATE";"STVTERM_FA_TERM";"STVTERM_FA_PERIOD";"STVTERM_FA_END_PERIOD";"STVTERM_ACYR_CODE";"STVTERM_HOUSING_START_DATE";"STVTERM_HOUSING_END_DATE";"STVTERM_SYSTEM_REQ_IND";"STVTERM_TRMT_CODE";"STVTERM_FA_SUMMER_IND";"STVTERM_SURROGATE_ID";"STVTERM_VERSION";"STVTERM_USER_ID";"STVTERM_DATA_ORIGIN";"STVTERM_VPDI_CODE";"ROWNUM"
"221735";"2021-3er Periodo-Idioma Regul.";2021-08-30 00:00:00;2021-12-19 00:00:00;;2021-05-12 16:35:28;;;;"2021";2021-08-30 00:00:00;2021-12-19 00:00:00;;Q;;2416;0;S100060791;;;437
"221736";"2021-3er Periodo-Idioma Adult.";2021-08-30 00:00:00;2021-12-19 00:00:00;;2021-05-12 16:36:23;;;;"2021";2021-08-30 00:00:00;2021-12-19 00:00:00;;Q;;2417;0;S100060791;;;438
