"STVTERM_CODE";"STVTERM_DESC";"STVTERM_START_DATE";"STVTERM_END_DATE";"STVTERM_FA_PROC_YR";"STVTERM_ACTIVITY_DATE";"STVTERM_FA_TERM";"STVTERM_FA_PERIOD";"STVTERM_FA_END_PERIOD";"STVTERM_ACYR_CODE";"STVTERM_HOUSING_START_DATE";"STVTERM_HOUSING_END_DATE";"STVTERM_SYSTEM_REQ_IND";"STVTERM_TRMT_CODE";"STVTERM_FA_SUMMER_IND";"STVTERM_SURROGATE_ID";"STVTERM_VERSION";"STVTERM_USER_ID";"STVTERM_DATA_ORIGIN";"STVTERM_VPDI_CODE";"ROWNUM"
"221322";"2021-2 PDN UG";2021-05-24 00:00:00;2021-08-03 00:00:00;;2021-04-09 12:16:50;;;;"2021";2021-05-24 00:00:00;2021-08-03 00:00:00;;;;2396;0;S100060791;;;289
"221432";"2021 Internac. Intensivo UG";2021-08-02 00:00:00;2021-08-10 00:00:00;;2021-04-13 10:46:29;;;;"2021";2021-08-02 00:00:00;2021-08-10 00:00:00;;;;2397;1;S100060791;;;290
"221532";"2021 Internac. Intensivo WA";2021-08-02 00:00:00;2021-08-10 00:00:00;;2021-04-13 10:46:43;;;;"2021";2021-08-02 00:00:00;2021-08-10 00:00:00;;;;2398;1;S100060791;;;291
"221434";"2021-2 Agosto-Diciembre UG";2021-08-16 00:00:00;2021-12-02 00:00:00;;2021-04-01 10:35:03;;;;"2021";2021-08-16 00:00:00;2021-12-02 00:00:00;;S;;2236;2;S100060791;;;424
