"STVTERM_CODE";"STVTERM_DESC";"STVTERM_START_DATE";"STVTERM_END_DATE";"STVTERM_FA_PROC_YR";"STVTERM_ACTIVITY_DATE";"STVTERM_FA_TERM";"STVTERM_FA_PERIOD";"STVTERM_FA_END_PERIOD";"STVTERM_ACYR_CODE";"STVTERM_HOUSING_START_DATE";"STVTERM_HOUSING_END_DATE";"STVTERM_SYSTEM_REQ_IND";"STVTERM_TRMT_CODE";"STVTERM_FA_SUMMER_IND";"STVTERM_SURROGATE_ID";"STVTERM_VERSION";"STVTERM_USER_ID";"STVTERM_DATA_ORIGIN";"STVTERM_VPDI_CODE";"ROWNUM"
"221534";"2021-2 Agosto-Diciembre WA";2021-08-14 00:00:00;2021-12-02 00:00:00;;2021-03-04 12:30:29;;;;"2021";2021-08-14 00:00:00;2021-12-02 00:00:00;;S;;2356.0;0.0;S100060791;;;422
"217000";Periodo Catálogo 2017;2017-01-01 00:00:00;2017-12-31 00:00:00;;2021-03-30 12:01:27;;;;"2017";2017-01-01 00:00:00;2017-12-31 00:00:00;;;;2376.0;0.0;S100060791;;;423
